Timestamp,Giới tính của bạn:,Độ tuổi của bạn:,Khu vực bạn đang sinh sống:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1",Lý do - HUMAN-ENF1,"Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2",Lý do - HUMAN-ENF2,"Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1",Lý do - HUMAN-FAC1,"So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2",Lý do - HUMAN-FAC2,"Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Lý do - HUMAN-TRU1,Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,Lý do - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3",Lý do - HUMAN-TRU3,"Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4",Lý do - HUMAN-TRU4,"Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1",Lý do - HUMAN-OUT1
12/23/2025 20:23,Nữ,30 - 39,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 23 - 32 triệu VNĐ,1 người,5,"Các thay đổi hiện tại chỉ mới dừng lại ở việc giảm bậc thuế, giúp người đóng thuế cảm thấy đơn giản và nhẹ gánh trong việc đóng thuế TNCN. Chưa thấy nhiều thay đổi về các chế tài pháp lý hay xử phạt.",5,Đồng ý. Quan trọng là cơ quan thuế có muốn thực thi hay không.,1,"Form khai báo/phản ánh không đồng bộ, thông tin liên hệ không có, không có người tiếp nhận, hỗ trợ. Phần mềm eTax cũng không có phản hồi người nộp thuế. 
Người khai báo thuế gặp vấn đề bị người khác sử dụng CCCD để đăng ký mã số thuế tại 1 DN không làm việc mà cơ quan thuế không biết/không xử lý dù đã phản ánh nhiều lần.",10,"Hoàn toàn đồng ý vì trước đây 7 bậc là quá nhiều, khó để tính toán.",5,"Các thay đổi hiện tại chỉ mới dừng lại ở việc giảm bậc thuế, giúp người đóng thuế cảm thấy đơn giản và nhẹ gánh trong việc đóng thuế TNCN. Chưa thấy nhiều thay đổi về các chế tài pháp lý hay xử phạt.",10,"Vì theo chính sách mới, tôi không phải đóng thuế nữa. Hoàn toàn đồng ý.",5,"Khi nào các chính sách chế tài được xử lý nghiêm, giải quyết vấn đề tham nhũng thì lòng tin của tôi sẽ cao hơn.",10,Hoàn toàn đồng ý về việc truyền thông và giải thích của Chính phủ.,9,"Ủng hộ việc giảm bậc, tăng mức giảm trừ gia cảnh nhưng niềm tin về việc thực thi chính sách thì không cao cho đến khi việc thực thi các chế tài là rõ ràng, minh bạch, nghiêm khắc. Nhìn chung, vì chính sách mới giúp tôi không phải đóng thuế nữa nên mức độ ủng hộ cao."
12/24/2025 9:36,Nữ,30 - 39,Thành thị,Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 12 - 18 triệu VNĐ,2 người,5,"Dù khâu thực thi được chú trọng và nhiều cải thiện. Người dân hiểu và tuân thủ hơn. Nhưng thay đổi chỉ mới gần đây, chưa chắc được hiệu quả trong tương lai. ",5,"Dù khâu thực thi được chú trọng và nhiều cải thiện. Người dân hiểu và tuân thủ hơn. Nhưng thay đổi chỉ mới gần đây, chưa chắc được hiệu quả trong tương lai. ",4,"Có cải thiện nhưng đang trong quá trình chuyển giao, thay đổi từ offline sang online nên mọi thứ vẫn còn ngổn ngang, không biết liên hệ ai.",5,"Không thay đổi về mức độ đóng thuế dù thay đổi bậc thuế, ngưỡng thuế.",5,"Dù khâu thực thi được chú trọng và nhiều cải thiện. Người dân hiểu và tuân thủ hơn. Nhưng thay đổi chỉ mới gần đây, chưa chắc được hiệu quả trong tương lai. ",5,"Không thay đổi về mức độ đóng thuế dù thay đổi bậc thuế, ngưỡng thuế.",5,Giống với quan điểm trước đó vì mọi thứ vẫn chưa rõ ràng.,5,Giống với quan điểm trước đó vì mọi thứ vẫn chưa rõ ràng.,5,Giống với quan điểm trước đó vì mọi thứ vẫn chưa rõ ràng.
12/24/2025 10:43,Nam,40 - 49,Thành thị,Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 23 - 32 triệu VNĐ,3 người,10,"Áp dụng công nghệ định danh, rà soát tài khoản tự động các nguồn thu thông qua yêu cầu bên trung gian thanh toán, phán đoán cá nhân.",10,Công nghệ hiện đại,5,"Vẫn thấy có nhiều khó khăn khi dùng Etax mobile. Chưa rõ phần mềm có cập nhật, thay đổi theo chính sách mới hay không.",7,Chưa làm theo quy định mới nhưng từ truyền thông giải thích thì cảm giác có sự tốt hơn,7,"Vì còn mới và chưa triển khai, nên phỏng đoán sẽ tốt hơn cách làm trước đây. Dựa trên kinh nghiệm từ quá khứ thì mọi thứ vẫn làm tốt, nhưng chưa chắc tương lai thế nào vì không biết quá trình chuyển đổi thế nào.",6,"Do sức mua bị giảm bởi lạm phát do cung tiền cho các dự án quốc gia, nên cảm thấy 6/10. Thay đổi chưa phù hợp với mức sống thực tế.",5,"Tính hiệu quả từ tiền thuế thu được chưa được minh bạch và giải trình đầy đủ, còn nhiều vụ án tham nhũng khi triển khai dự án công, trong đó có phần tiền thuế đóng góp.",6,"Chỉ tham khảo từ nguồn truyền thông. Chưa thấy thông tin từ cơ quan thuế, giới học thuật (sách vở).",7,"Đóng thuế ít hơn, các khung thuế cũng đơn giản hơn. Nhưng tổng thể không đáp ứng được mong đợi so với thực mức sống thực tế. Tuy nhiên, sẽ ủng hộ nếu thu thuế tốt cho cả quốc gia nếu xài tiền thuế thu được hiệu quả. "
12/24/2025 11:18,Nữ,40 - 49,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,2 người,6,Người có thu nhập phi chính thức còn nhiều và Nhà nước hiện nay chưa quản lý được.,5,"Hiện nay các khoản doanh thu bán lẻ không xuất hóa đơn vẫn còn cao, như doanh thu bán lẻ, cái này chưa có công nghệ quản lý.",2,"Thủ tục khai báo phức tạp, tôi phải thường nhờ dịch vụ làm thì sẽ thuận tiện, nhanh chóng hơn. Còn người dân bình thường sẽ khó xử lý vì không có mối quan hệ để hỏi người chịu trách nhiệm chính, hỗ trợ.",7,Đơn giản hơn vì nó ít bậc hơn.,7,"Tôi hi vọng thế. Hiện tại, Nhà nước cũng đang cố gắng minh bạch, đưa ra nhiều chính sách cải tiến để giúp việc thực thi chính sách tốt hơn.",7,"Mức giảm trừ được nâng lên, và các bậc thuế cũng thấp hơn. Tuy nhiên, chưa phản ánh đúng với thực tế, mức sống hiện nay.",5,"Tôi không quá tin vào điều này vì hàng năm vẫn thấy sự thất thoát, tuy nhiên tôi tin năng lực quản lý nhà nước sẽ tăng lên.",7,"Nó được lấy ý kiến từ người dân và công khai thông tin rõ ràng. Truyền thông rõ ràng từng chặng, từng bước quá trình luật hình thành.",8,"Vì đóng thuế là nghĩa vụ công dân để xây dựng đất nước và mức thuế này cũng hợp lý. Tuy nhiên, chưa phản ánh hoàn toàn thực tế hiện nay."
12/24/2025 12:03,Nữ,40 - 49,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,2 người,8,"Khi cảm giác về gánh nặng thuế giảm sẽ khuyến khích người đóng thuế tích cực kê khai nộp thuế hơn. Hiện nay, cơ quan thuế cũng đang triển khai rất quyết liệt, nhanh và hiệu quả.",8,"Qua kinh nghiệm hệ thống hoá đơn điện tử từ VAT hay thuế DN thì làm rất hiệu quả. Hiện nay, cơ quan thuế cũng đang triển khai rất quyết liệt, nhanh và hiệu quả.",8,"Không khai báo trực tiếp nên không trả lời được chính xác. Do công ty đóng nên chưa nhiều trải nghiệm. Nghe qua một vài chia sẻ thì thấy tích cực, tốt. Tuy nhiên, trong quá khứ thì có trải nghiệm chưa tốt, dù hiện tại trải nghiệm tốt hơn từ chia sẻ bạn bè, người thân. Có sự cải tiến nhiều.",9,"Có sự giãn cách giữa các bậc. Cơ bản cũng không quan tâm nhiều do nhân sự, kế toán làm hết rồi. Qua truyền thông, báo chí thì thấy có sự đơn giản, dễ hiểu.",6,"Hiện mới chỉ nắm được người có tóc, chưa xử lý được những người nằm ngoài tầm kiểm soát hay khó quản lý. Chưa có chính sách khuyến khích người thu nhập cao chủ động khai báo thuế, minh bạch các nguồn thu.",7,"Tương tự câu trên, mới nắm được người có tóc",5,"Chưa “cảm nhận” được. Không biết tiền đi đâu, về đâu, làm gì. Vẫn thấy được nguồn thu được sử dụng nhưng vấn đề là chưa rõ ràng, chưa thấy hiệu quả, minh bạch.",8,"Đọc nhiều tin bài, hội thảo, truyền thông tốt, giải thích dễ hiểu.",8,"Buộc phải tuân thủ nhưng kỳ vọng có chính sách bao trùm hơn. Chính sách mới có những nỗ lực điều chỉnh tích cực hơn nhưng vẫn chưa hướng tới được những người có thu nhập đáng lẽ chịu thuế phải tự động khai báo thay vì phải đi thanh tra, xử phạt. Phải có cơ chế thưởng phạt. Hiện tại chỉ dừng lại ở phạt, chưa có chính sách khuyến khích. "
12/24/2025 21:56,Nam,40 - 49,Thành thị,Sau Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 32 - 48 triệu VNĐ,3 người,6,"Bậc thuế và mức thuế này vẫn là quá cao, làm giảm động lực làm việc và tăng khả năng gian lận. Sự thay đổi không nhiều so với trước đây với những người có thu nhập cao.",7,"Nếu áp dụng công nghệ thì việc thực thi sẽ dễ dàng, không khó khăn. Tuy nhiên, trong quá trình thực thi, bằng nhiều cách thức, đối tượng có thể thoát được thuế, đặc biệt thông qua lạm dụng quyền và lợi ích nhóm, trong đó có lao động ở các cơ quan nhà nước có khả năng tự ra luật để mình được đặc quyền.  ",5,"Tôi thấy cơ quan thuế Quận 7 thật tệ. Ngoài ra, đang trong quá trình chuyển đổi, sáp nhập nên khâu thực thi, hỗ trợ người dân gặp nhiều khó khăn. Và còn có nhiều vấn đề tiêu cực, nhũng nhiễu, gây khó khăn cho người dân. Tuy nhiên, đây là trải nghiệm cá nhân ở một cơ quan, chưa thể đánh giá toàn bộ hệ thống nên nếu chấm điểm quá thấp thì sẽ không công bằng. Vì thế cho điểm trung bình.",8,Đồng ý khi có sự thay đổi tốt hơn.,6,Cái này là hy vọng thôi chứ trong giai đoạn nhiều chuyển đổi này thì tôi lo là sẽ nhiều khó khăn và phúc tạp ngoài mong đợi. Vẫn phải chờ đợi thêm.,3,"Mức và biểu thuế hiện vẫn quá cao, làm giảm động lực làm việc, đặc biệt của tầng lớp trung lưu, không phản ánh đúng với thực tế, mức sống của người dân. Ngoài ra, không phản ánh đúng theo từng vùng. Người dân ở các thành phố lớn có chi phí sống cao hơn nhưng vẫn phải đóng thuế giống với người dân ở các vùng có chi phí sống thấp hơn.",5,"Tôi lo ngại về hiệu quả đầu tư công của Việt Nam từ xưa đến nay. Có những trải nghiệm không tốt, tiêu cực về các dự án, tài sản công bị thất thoát, lãng phí, tham nhũng. Người dân cũng không được tham gia phản biện vào các dự án lớn và không biết đồng thuế có sử dụng hiệu quả, đúng mục đích hay không. Tuy nhiên, so với các nước kém phát triển, nghèo đói khác thì vẫn có tín hiệu tích cực, tiền thuế vẫn được sử dụng chứ không quá tồi tệ. Sống thì buộc phải hy vọng thôi. ",5,Có ai hỏi tôi về cải cách thuế này đâu. Vấn đề truyền thông còn hạn chế nên cho điểm trung bình. ,6,Tôi không ủng hộ lắm nhưng sẽ tuân thủ. Trừ 2 điểm thiết kế và trừ 2 điểm thực thi.
12/25/2025 8:40,Nữ,40 - 49,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 32 - 48 triệu VNĐ,2 người,6,"Cần thêm thu nhập của tổ chức/cá nhân chịu thuế phải rõ ràng, minh bạch. Để phát hiện được hành vi gian lận, trốn thuế thì phải đi từ đầu vào là đo kiểm được thu nhập của tổ chức/cá nhân - nó giải thích cho niềm tin không cao vì lý do này.",7,Tôi chỉ nhận định chủ quan trên cơ sở nhà nước đã thu được thuế gia tăng trong thời gian gần đây,7,Thủ tục hoàn thuế đơn giản hơn ,7,"Đối với cá nhân tôi thi tôi cảm thấy có đơn giản hơn, tuy nhiên với tổ chức khi phải hỗ trợ ưu đãi thuế cho những cá nhân thuộc đối tượng miễn giảm (nhà khoa hoc, nghiên cứu,...) thì vẫn còn sự phức tạp trong kê khai (thông tin này được nghe phản ánh lại từ bộ phận hỗ trợ thuế)",8,Niềm tin cá nhân đối với chính sách của nhà nước,5,"Mức giảm trừ gia cảnh nên được điều chỉnh theo khu vực sinh sống, phù hợp hơn với thực tế.",5,Nhà nước cần công khai minh bạch dữ liệu thu thuế và đầu tư công tùy theo thẩm quyền quản lý để người dân được biết và giám sát theo quy định pháp luật. Thường thì chọn trung bình là mức trung tính trong những vấn đề còn băn khoăn,7,Cảm nhận cá nhân. Cảm thấy truyền thông về thuế TNCN trong thời gian qua có tốt hơn.,8,Trách nhiệm công dân nên ủng hộ.
12/25/2025 9:32,Nữ,30 - 39,Thành thị,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Trên 102 triệu VNĐ,2 người,10,Hoàn toàn đồng ý. Chính phủ tăng cường kiểm soát giao dịch ngân hàng để minh bạch dòng tiền cá nhân và chống rửa tiền. ,8,"Khi làm việc với cơ quan thuế thì biết rằng cơ quan thuế đang có những công cụ, phần mềm hỗ trợ kiểm tra thuế cũng như truy cập được nhiều nguồn dữ liệu khác nhau. Tuy nhiên, các phần mềm của chính phù hiện nay chưa được tối ưu, một số doanh nghiệp vẫn có cách trốn thuế. ",4,"Hiện tại phần mềm khai thuế vẫn chưa được friendly và hay gặp lỗi, trải nghiệm không tốt. Phải thuê người làm giúp. Gặp vấn đề thì không biết hỏi ai.",7,"5 bậc sẽ ít hơn 7 bậc tuy nhiên mức giảm trừ gia cảnh chưa hợp lý, chưa sát với thực tế. Chưa phản ánh những vấn đề như nuôi con, vay tiền mua nhà, vay ngân hàng.",5,"Chính phủ đang siết chặt thu thuế, trong khi đó chưa áp dụng các chính sách hỗ trợ người dân giảm trừ như mua nhà, con đi học. Chưa có đánh giá tác động cho các nhóm đối tượng khác nhau cũng như đánh giá tác động trong tương lai.",5,Tôi chưa tính được khi áp dụng thuế mới mức đóng cụ thể là bao nhiêu. Không thay đổi khi chính sách mới áp dụng.,5,"Chưa chắc, k có niềm tin lắm nhưng vẫn có niềm tin. Vẫn đánh giá thuế có sử dụng cho dịch vụ công. Chính phủ có lắng nghe phản hồi của người dân, có một chút thay đổi. Vì thế cho điểm số ở mức trung bình.",5,"Mục tiêu chính thì hiểu, rationale đưa ra ngưỡng thì chưa hiểu lắm, Chính phủ cũng chưa forseen được mức trượt giá, lạm phát + giảm trừ gia cảnh.",6,Không ủng hộ cũng k được.
12/25/2025 15:20,Nữ,30 - 39,Thành thị,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,1 người,7,"Nếu là người lao động trong nhóm chính thức thì thực sự dễ dàng quản lý và cũng khó để trốn thuế, tuy nhiên 2 nhóm còn lại ở khu vực tự do và đã nghỉ hưu thì điều này không thể chắc chắn. Niềm tin chỉ ở mức tương đối.",7,"Sẽ có thể phát hiện nhưng không thể toàn bộ và ngay lập tức, vì những doanh nghiệp không tuân thủ quy định thì nếu có cơ quan thuế sẽ phải tiến hành điều tra chứ không có hệ thống để nhận diện hành vi vi phạm ngay lập tức.",5,Tôi không rõ vấn đề này vì có bộ phận kế toán/nhân sự của công ty xử lý giúp. Chưa có trải nghiệm gì với cơ quan thuế.,7,"Thực ra thì phương thức lũy tiến như nhau, nhưng giản lược số bậc thuế, và giảm tỷ lệ đóng thì tốt cho người lao động. Cá nhân đóng thuế ít hơn so với trước đây.",7,"Nhà nước có chủ động điều chỉnh chính sách thuế mới, như vậy là rất tốt. tuy nhiên cần sự phối hợp của doanh nghiệp thì chính sách thuế mới thực sự hiệu quả. Các doanh nghiệp FDI thì có thể đảm bảo nhưng băn khoăn về các doanh nghiệp SME, doanh nghiệp trong nước hoặc các hộ kinh doanh. Ngoài ra, vấn đề khi thực thi có phụ thuộc vào các cấp cơ quan nhà nước ở dưới, nhỏ hơn có thể không thực hiện đúng với chính sách đề ra.",8,"Thấp hơn thì sẽ tốt hơn, hiện giờ mức đóng vẫn cao nhưng, giảm trừ gia cảnh và cá nhân còn khá thấp so với mức sống của khu vực thành thị. đặc biệt nhóm người chưa sở hữu nhà riêng. Cá nhân cảm thấy hài lòng vì giảm được thuế so với trước đây.",6,"Tôi không thấy rằng giữa người đóng thuế cao và thấp có sự khác biệt trong việc hưởng các dịch vụ công tốt hơn, tất cả là như nhau. và qua các năm thì dịch vụ y tế hay đường xá đều không thay đổi dù tiền thuế đóng nhiều hơn, thông qua ở TPHCM hầu như không có nhiều cải thiện về đầu tư hạ tầng công, các trung tâm khám chữa bệnh công chất lượng hơn hay các trung tâm giải trí, bảo tàng nghệ thuật miễn phí cho người dân, hầu hết đều thu phí, và chất lượng không tốt. Mặc dù không hài lòng nhưng nhìn nhận thực tế vì có sự cải thiện, đặc biệt là có Metro ở Hồ Chí Minh.",5,"Tôi thấy ko quá cần thiết, vì cơ bản là có cải thiện cho đối tượng thu nhập của tôi. tuy nhiên việc sử dụng thuế vào đâu thì cần làm rõ. Không theo dõi quá trình chính sách để hình thành nên không nắm rõ thông tin. Quan trọng là giảm thuế thì cũng không cần giải thích nhiều.",7,Là công dân thì phải tuân thủ theo quy định tuyệt đối nhưng về mặt ủng hộ thì ở mức khá.
12/28/2025 15:12,Nữ,30 - 39,Nông thôn,Sau Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 23 - 32 triệu VNĐ,3 người,5,Tôi tin rằng nếu đã có Luật thì ai muốn trốn sẽ có cách lách để k bị phát hiện,8,Do họ có thể truy thu dựa vào dòng tiền ra vào tài khoản,10,"Có thể làm online, nên tôi thấy tiện a",5,Tôi thấy như nhau,9,Tại cán bộ thuế ở tôi rất tốt ạ,2,Tôi thấy phần trăm đóng thuế còn cao so với tôi,7,Dạ do tôi dễ tin người ạ,8,"Dạ, về cơ bản là đã khá chi tiết và rõ ràng ạ",10,"Dạ, là công dân thì phải tuân thủ, vì không có phương án khác ạ"
