Timestamp,Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
12/25/2025 14:05,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,1 người,10,8,5,5,10,10,10,10,10
12/25/2025 14:05,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 12 - 18 triệu VNĐ,0 người,8,8,6,9,10,9,8,9,10
12/25/2025 14:07,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 48 - 70 triệu VNĐ,3 người,6,5,4,5,4,4,4,10,4
12/25/2025 14:07,Nữ,18 - 24,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,10,10,8,9,9,7,10,7,10
12/25/2025 14:08,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,0 người,9,9,10,9,9,9,9,9,9
12/25/2025 14:17,Nữ,30 - 39,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 70 - 102 triệu VNĐ,4 người trở lên,8,8,5,8,6,6,4,5,6
12/25/2025 14:19,Nữ,30 - 39,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,2 người,5,4,4,6,6,7,2,4,4
12/25/2025 14:28,Nam,40 - 49,Sau Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Dưới 12 triệu VNĐ,2 người,1,1,2,3,6,2,7,3,3
12/25/2025 15:35,Nữ,25 - 29,Đại học,"Khu vực phi chính thức (Lao động tự do, không có HĐLĐ)",Từ 12 - 18 triệu VNĐ,1 người,10,10,8,7,7,5,5,9,8
12/25/2025 15:51,Nữ,25 - 29,Đại học,"Khu vực chính thức (Có Hợp đồng lao động, đóng BHXH)",Từ 18 - 23 triệu VNĐ,0 người,7,10,1,5,8,5,5,5,10
