Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
Nam,29,Cao đẳng - Trung cấp,Chính thức,12155094,4,,,,,,,,,
Nam,50,Cao đẳng - Trung cấp,Chính thức,14052015,2,,,,,,,,,
Nam,26,THPT,Chính thức,14364812,1,,,,,,,,,
Nam,49,Đại học,Chính thức,12752075,3,,,,,,,,,
Nam,23,Khác,Chính thức,16946496,2,,,,,,,,,
Nam,52,Khác,Chính thức,17206426,4,,,,,,,,,
Nam,62,THPT,Chính thức,13103837,4,,,,,,,,,
Nam,35,Khác,Chính thức,13137461,4,,,,,,,,,
Nam,41,Khác,Chính thức,13752936,2,,,,,,,,,
Nam,31,Khác,Chính thức,17397650,2,,,,,,,,,
Nam,43,Đại học,Chính thức,17408654,2,,,,,,,,,
Nam,31,THPT,Chính thức,12437608,2,,,,,,,,,
Nam,34,Cao đẳng - Trung cấp,Chính thức,14034214,4,,,,,,,,,
Nam,38,Đại học,Chính thức,16801020,4,,,,,,,,,
Nam,53,Khác,Chính thức,13394239,1,,,,,,,,,
Nam,22,Khác,Chính thức,13639097,4,,,,,,,,,
Nam,38,Khác,Chính thức,12654671,4,,,,,,,,,
Nam,37,Đại học,Chính thức,15313991,4,,,,,,,,,
Nam,44,THPT,Chính thức,16466039,4,,,,,,,,,
Nam,43,Khác,Chính thức,16666193,2,,,,,,,,,
Nam,54,Khác,Chính thức,14175364,2,,,,,,,,,
Nam,54,THPT,Chính thức,13077215,3,,,,,,,,,
Nam,42,Đại học,Chính thức,15696130,4,,,,,,,,,
Nam,26,Khác,Chính thức,15562948,3,,,,,,,,,
Nam,44,Đại học,Chính thức,14235714,4,,,,,,,,,
Nam,29,Đại học,Chính thức,14893065,4,,,,,,,,,
Nam,23,Đại học,Chính thức,15079449,4,,,,,,,,,
Nam,21,Đại học,Chính thức,12789996,3,,,,,,,,,
Nam,19,THPT,Chính thức,16274133,2,,,,,,,,,
Nam,42,Khác,Chính thức,16307584,4,,,,,,,,,
Nam,60,Đại học,Chính thức,12612526,4,,,,,,,,,
Nam,19,Khác,Chính thức,12064049,4,,,,,,,,,
Nam,19,THPT,Chính thức,12434783,2,,,,,,,,,
Nam,48,THPT,Chính thức,17632243,2,,,,,,,,,
Nam,33,Khác,Chính thức,14012565,4,,,,,,,,,
Nam,30,THPT,Chính thức,17305286,4,,,,,,,,,
Nam,42,Khác,Chính thức,13491051,4,,,,,,,,,
Nam,33,Khác,Chính thức,14520508,2,,,,,,,,,
Nam,18,Khác,Chính thức,17201450,3,,,,,,,,,
Nam,26,Khác,Chính thức,13996632,3,,,,,,,,,
Nam,28,Khác,Chính thức,14956976,4,,,,,,,,,
Nam,31,Cao đẳng - Trung cấp,Chính thức,15814110,4,,,,,,,,,
Nam,26,Đại học,Chính thức,12324036,3,,,,,,,,,
Nam,42,Thạc sĩ - Tiến sĩ,Chính thức,13882225,4,,,,,,,,,
Nam,53,Khác,Chính thức,12466561,4,,,,,,,,,
Nam,22,THPT,Chính thức,14535460,2,,,,,,,,,
Nam,27,THPT,Chính thức,14268814,4,,,,,,,,,
Nam,44,Cao đẳng - Trung cấp,Chính thức,15545252,4,,,,,,,,,
Nam,57,Đại học,Chính thức,17900420,4,,,,,,,,,
Nam,34,Khác,Chính thức,14773770,3,,,,,,,,,
Nam,32,THPT,Chính thức,14487702,4,,,,,,,,,
Nam,38,Khác,Chính thức,17738313,4,,,,,,,,,
Nam,35,Đại học,Chính thức,13199332,3,,,,,,,,,
Nam,30,Khác,Chính thức,14211180,1,,,,,,,,,
Nam,38,Đại học,Chính thức,14657263,2,,,,,,,,,
Nam,37,Đại học,Chính thức,13144192,4,,,,,,,,,
Nam,30,Đại học,Chính thức,13185632,2,,,,,,,,,
Nam,25,THPT,Chính thức,12772204,3,,,,,,,,,
Nam,40,Đại học,Chính thức,16726652,4,,,,,,,,,
Nam,42,Đại học,Chính thức,13714139,3,,,,,,,,,
Nam,62,Khác,Chính thức,13481375,4,,,,,,,,,
Nam,44,Khác,Chính thức,12989597,2,,,,,,,,,
Nam,30,THPT,Chính thức,12706087,3,,,,,,,,,
Nam,43,Đại học,Chính thức,16966149,4,,,,,,,,,
Nam,46,Đại học,Chính thức,14072140,3,,,,,,,,,
Nam,35,Cao đẳng - Trung cấp,Chính thức,15586996,4,,,,,,,,,
Nam,19,Đại học,Chính thức,13729812,3,,,,,,,,,
Nam,46,Khác,Chính thức,14749902,4,,,,,,,,,
Nam,30,Đại học,Chính thức,15173098,4,,,,,,,,,
Nam,48,Cao đẳng - Trung cấp,Chính thức,15066443,4,,,,,,,,,
Nam,28,THPT,Chính thức,16438892,1,,,,,,,,,
Nam,49,Khác,Chính thức,13092782,2,,,,,,,,,
Nam,38,Khác,Chính thức,15391759,3,,,,,,,,,
Nam,24,Đại học,Chính thức,17943821,4,,,,,,,,,
Nam,64,Đại học,Chính thức,16468475,2,,,,,,,,,
Nam,30,Đại học,Chính thức,16744057,4,,,,,,,,,
Nam,25,Đại học,Chính thức,13316048,3,,,,,,,,,
Nam,61,Đại học,Chính thức,16701127,4,,,,,,,,,
Nam,49,Khác,Chính thức,13090722,4,,,,,,,,,
Nam,25,Đại học,Chính thức,15405528,4,,,,,,,,,
Nam,45,Đại học,Chính thức,14374962,4,,,,,,,,,
Nam,30,Đại học,Chính thức,15379461,4,,,,,,,,,
Nam,31,THPT,Chính thức,15246108,2,,,,,,,,,
Nam,33,Cao đẳng - Trung cấp,Chính thức,16506719,3,,,,,,,,,
Nam,30,THPT,Chính thức,13842180,4,,,,,,,,,
Nam,31,Đại học,Chính thức,16007945,3,,,,,,,,,
Nam,34,Đại học,Chính thức,14219883,2,,,,,,,,,
Nam,35,Khác,Chính thức,16694806,4,,,,,,,,,
Nam,50,Đại học,Chính thức,16545069,3,,,,,,,,,
Nam,35,Đại học,Chính thức,13969896,4,,,,,,,,,
Nam,41,Đại học,Chính thức,16624189,4,,,,,,,,,
Nam,34,Cao đẳng - Trung cấp,Chính thức,17389365,3,,,,,,,,,
Nam,48,Đại học,Chính thức,16638591,4,,,,,,,,,
Nam,38,Đại học,Chính thức,12421936,4,,,,,,,,,
Nam,34,THPT,Chính thức,15819942,2,,,,,,,,,
Nam,36,Cao đẳng - Trung cấp,Chính thức,17796454,4,,,,,,,,,
Nam,40,Đại học,Chính thức,17241013,4,,,,,,,,,
Nam,37,Đại học,Chính thức,14803557,4,,,,,,,,,
Nam,33,THPT,Chính thức,16379047,4,,,,,,,,,
Nam,44,Đại học,Chính thức,15492125,2,,,,,,,,,
Nam,51,Đại học,Chính thức,14321256,3,,,,,,,,,
Nam,28,Đại học,Chính thức,14860866,1,,,,,,,,,
Nam,25,Khác,Chính thức,17410528,3,,,,,,,,,
Nam,26,Đại học,Chính thức,13197598,4,,,,,,,,,
Nam,63,Khác,Chính thức,14106113,2,,,,,,,,,
