Giới tính của bạn:,Độ tuổi của bạn:,Trình độ học vấn cao nhất:,Tình trạng việc làm chính:,"Thu nhập bình quân tháng theo Hợp đồng lao động của bạn là bao nhiêu? (Vui lòng điền tổng thu nhập trước khi khấu trừ các loại Bảo hiểm (BHXH, BHYT, BHTN) và Thuế TNCN)","Số người phụ thuộc (con nhỏ, cha mẹ già...) đủ điều kiện giảm trừ gia cảnh:","Tôi tin rằng với các quy định quản lý thuế hiện nay, hành vi gian lận hoặc trốn thuế sẽ dễ dàng bị phát hiện và xử lý nghiêm. - HUMAN-ENF1","Tôi tin rằng Nhà nước, cơ quan thuế có đủ khả năng và công nghệ để phát hiện, xử lý nghiêm các hành vi trốn thuế. - HUMAN-ENF2","Các thủ tục khai báo thuế VÀ/HOẶC quy trình làm việc với cơ quan thuế đơn giản, tiện lợi, nhanh chóng hơn so với trước đây. - HUMAN-FAC1","So với trước đây, tôi thấy cách tính thuế và các bậc thuế trong phương án mới đơn giản, dễ hiểu và dễ thực hiện hơn. - HUMAN-FAC2","Tôi tin rằng Nhà nước, cơ quan thuế sẽ thực thi chính sách mới một cách khách quan, công tâm và đối xử bình đẳng với mọi người nộp thuế.  - HUMAN-TRU1",Tôi thấy mức thuế tôi phải đóng theo phương án mới là công bằng (người thu nhập như tôi đóng mức này là hợp lý). - HUMAN-TRU2,"Tôi tin tưởng số tiền thuế tôi đóng sẽ được Nhà nước sử dụng hiệu quả để cải thiện dịch vụ công (y tế, đường xá...). - HUMAN-TRU3","Tôi thấy Nhà nước đã giải thích rõ ràng, minh bạch về lý do và mục tiêu của việc sửa đổi thuế lần này. - HUMAN-TRU4","Sau khi xem xét các quyền lợi và nghĩa vụ, bạn có ủng hộ và tuân thủ chính sách mới hiện nay? - HUMAN-OUT1"
Nữ,46,Đại học,Chính thức,253928090.5,1,,,,,,,,,
Nam,51,Đại học,Chính thức,206796161,1,,,,,,,,,
Nam,30,Thạc sĩ - Tiến sĩ,Chính thức,19243534.04,3,,,,,,,,,
Nữ,42,Khác,Chính thức,22089282.02,2,,,,,,,,,
Nam,51,THPT,Chính thức,38625814.71,3,,,,,,,,,
Nam,27,Đại học,Chính thức,31576295.32,2,,,,,,,,,
Nữ,27,Đại học,Chính thức,23080074.49,1,,,,,,,,,
Nữ,41,Đại học,Chính thức,26859458.87,3,,,,,,,,,
Nam,48,Thạc sĩ - Tiến sĩ,Chính thức,41273044.69,2,,,,,,,,,
Nữ,47,Đại học,Chính thức,31969985.76,2,,,,,,,,,
Nữ,46,Khác,Chính thức,14568558.27,2,,,,,,,,,
Nữ,47,Đại học,Chính thức,14597275.31,1,,,,,,,,,
Nam,48,Đại học,Chính thức,28299156.53,2,,,,,,,,,
Nữ,58,THPT,Phi chính thức,16942369.89,2,,,,,,,,,
Nam,32,Đại học,Chính thức,22952203.6,3,,,,,,,,,
Nữ,33,Đại học,Chính thức,15133294.13,3,,,,,,,,,
Nam,35,Khác,Phi chính thức,12405763.01,4,,,,,,,,,
Nam,50,Cao đẳng - Trung cấp nghề,Chính thức,21525036.21,5,,,,,,,,,
Nữ,22,THPT,Chính thức,22461618.04,2,,,,,,,,,
Nam,26,THPT,Chính thức,19973618.87,2,,,,,,,,,
Nam,39,Khác,Phi chính thức,14642164.07,3,,,,,,,,,
Nữ,42,THPT,Chính thức,14714397.73,2,,,,,,,,,
Nữ,21,THPT,Chính thức,16238753.31,2,,,,,,,,,
Nữ,20,THPT,Chính thức,14704890.72,4,,,,,,,,,
Nam,41,THPT,Chính thức,12583553.86,3,,,,,,,,,
Nữ,38,THPT,Chính thức,12583553.86,2,,,,,,,,,
Nam,45,THPT,Chính thức,12424188.96,4,,,,,,,,,
Nữ,39,Đại học,Chính thức,20541692.53,3,,,,,,,,,
Nam,44,Đại học,Chính thức,31444079.31,3,,,,,,,,,
Nam,31,Đại học,Chính thức,13938645.5,3,,,,,,,,,
Nam,38,Đại học,Chính thức,19579867.58,6,,,,,,,,,
Nam,27,Đại học,Chính thức,16822993.24,5,,,,,,,,,
Nữ,30,Đại học,Chính thức,15696559.84,3,,,,,,,,,
Nam,30,Đại học,Phi chính thức,13216798.98,2,,,,,,,,,
Nam,34,Khác,Phi chính thức,16133000.1,6,,,,,,,,,
Nữ,31,THPT,Chính thức,14005586.59,2,,,,,,,,,
Nam,36,THPT,Chính thức,15132706.07,2,,,,,,,,,
Nam,25,Đại học,Chính thức,23080695.22,3,,,,,,,,,
Nam,40,THPT,Chính thức,16691855.34,5,,,,,,,,,
